Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_030980095.1	ASM3098009v1	Pseudomonas canadensis		GZH03					GCF_030980095.1-RS_2024_08_29	Complete Genome	2023-08-30		2
GCF_030370465.1	ASM3037046v1	Pseudomonas brenneri		K5-sn1400					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-06-28		1
GCF_021391435.1	ASM2139143v1	Pseudomonas sivasensis		BsEB-1					GCF_021391435.1-RS_2024_12_09	Complete Genome	2022-01-09		1
GCF_012029655.1	ASM1202965v1	Raoultella terrigena		JH01					GCF_012029655.1-RS_2024_12_09	Complete Genome	2020-04-04		1
GCF_020683125.1	ASM2068312v1	Erwinia rhapontici		BY21311					GCF_020683125.1-RS_2024_12_09	Complete Genome	2021-10-31		2
GCF_024224615.1	ASM2422461v1	Atlantibacter subterranea		LH84-a					GCF_024224615.1-RS_2024_07_21	Complete Genome	2022-07-13		3
GCF_041464075.1	Sian_SB4e_Nov012A_05_Novo_LR_0	Lelliottia nimipressuralis		SKB.4e					GCF_041464075.1-RS_2024_12_22	Complete Genome	2024-08-28		1
GCF_020971565.1	ASM2097156v1	Pectobacterium parvum		FN20211					GCF_020971565.1-RS_2024_05_31	Complete Genome	2021-11-24		3
GCF_016026615.1	ASM1602661v1	Aeromonas allosaccharophila		FDAARGOS_933					GCF_016026615.1-RS_2024_12_13	Complete Genome	2020-12-14		2
GCF_041956365.1	ASM4195636v1	Stenotrophomonas lactitubi		RW9					GCF_041956365.1-RS_2024_12_22	Complete Genome	2024-09-19		1
GCF_043632995.1	ASM4363299v1	Pseudoxanthomonas japonensis		LY0623					GCF_043632995.1-RS_2024_10_24	Complete Genome	2024-10-24		3
GCF_030518655.1	ASM3051865v1	Acinetobacter variabilis		TB2-2B					GCF_030518655.1-RS_2024_07_22	Complete Genome	2023-07-23		7
GCF_000224675.1	ASM22467v1	Enterobacter soli		LF7a					GCF_000224675.1-RS_2024_05_01	Complete Genome	2011-08-30		3
GCF_001020955.1	ASM102095v1	Thioalkalivibrio versutus		D301					GCF_001020955.1-RS_2024_03_28	Complete Genome	2015-06-05		1
GCF_000195555.1	ASM19555v1	Francisella hispaniensis		3523					GCF_000195555.1-RS_2024_03_29	Complete Genome	2011-04-08		1
GCF_002393445.1	ASM239344v1	Cedecea neteri		FDAARGOS_392					GCF_002393445.1-RS_2024_05_03	Complete Genome	2017-09-28		2
GCF_009730055.1	ASM973005v1	Yersinia intermedia		FDAARGOS_730					GCF_009730055.1-RS_2024_12_11	Complete Genome	2019-12-05		1
GCF_900638655.1	58635_F02	Pragia fontium		NCTC12284					GCF_900638655.1-RS_2024_12_13	Complete Genome	2018-12-20		1
GCF_000968175.1	ASM96817v1	Xenorhabdus poinarii G6		G6					GCF_000968175.1-RS_2024_07_15	Complete Genome	2014-06-30		1
GCF_000530755.1	W_O_volvulus_Cameroon_v3	Wolbachia endosymbiont of Onchocerca volvulus str. Cameroon		Cameroon					GCF_000530755.1-RS_2025_01_08	Complete Genome	2014-01-24		1
GCF_040281505.1	ASM4028150v1	Pseudomonas solani		T3					GCF_040281505.1-RS_2024_06_25	Complete Genome	2024-06-25		1
GCF_042846945.1	ASM4284694v1	Pseudomonas moorei		m318					GCF_042846945.1-RS_2024_12_02	Complete Genome	2024-10-13		1
GCF_024584605.1	ASM2458460v1	Pseudomonas extremorientalis		1502IPR-01					GCF_024584605.1-RS_2024_08_22	Complete Genome	2022-08-08		1
GCF_024749065.1	ASM2474906v1	Pseudomonas sichuanensis		B21-027					GCF_024749065.1-RS_2024_09_11	Complete Genome	2022-08-26		1
GCF_003852045.1	ASM385204v1	Pseudomonas orientalis		8B					GCF_003852045.1-RS_2024_03_31	Complete Genome	2018-11-29		1
GCF_036864995.1	ASM3686499v1	Pseudomonas trivialis		P_trivialis_W04_8					GCF_036864995.1-RS_2024_04_05	Complete Genome	2024-04-05		1
GCF_017915135.1	ASM1791513v1	Ectopseudomonas khazarica		ODT-83					GCF_017915135.1-RS_2024_04_27	Complete Genome	2021-04-12		1
GCF_017167985.1	ASM1716798v1	Ectopseudomonas toyotomiensis		SM2					GCF_017167985.1-RS_2024_03_31	Complete Genome	2021-03-04		1
GCF_037023725.1	ASM3702372v1	Pseudomonas bubulae		ML3-2023-1					GCF_037023725.1-RS_2024_11_18	Complete Genome	2024-04-05		3
GCF_027886705.1	ASM2788670v1	Kosakonia oryzendophytica		FY-07					GCF_027886705.1-RS_2024_12_13	Complete Genome	2023-01-17		2
GCF_009363135.1	ASM936313v1	Kosakonia arachidis		KACC 18508					GCF_009363135.1-RS_2024_04_23	Complete Genome	2019-10-27		2
GCF_030848765.1	ASM3084876v1	Shewanella oncorhynchi		Z-P2					GCF_030848765.1-RS_2024_08_21	Complete Genome	2023-08-22		1
GCF_003312355.2	ASM331235v2	Pectobacterium peruviense		A350-S18-N16					GCF_003312355.2-RS_2024_07_28	Complete Genome	2024-07-29		1
GCF_013409125.2	ASM1340912v2	Pseudomonas sediminis		B10D7D					GCF_013409125.2-RS_2024_04_27	Complete Genome	2020-08-18		1
GCF_002209385.1	ASM220938v1	Methylovulum psychrotolerans		HV10_M2					GCF_002209385.1-RS_2024_12_13	Complete Genome	2017-06-27		1
GCF_037818705.1	ASM3781870v1	Aeromonas popoffii		BE5					GCF_037818705.1-RS_2024_04_05	Complete Genome	2024-04-05		1
GCF_020406815.2	ASM2040681v2	Dickeya oryzae		A003-S1-M15					GCF_020406815.2-RS_2024_07_31	Complete Genome	2024-08-01		2
GCF_028751155.1	ASM2875115v1	Aeromonas bestiarum		YK48					GCF_028751155.1-RS_2024_03_27	Complete Genome	2023-02-21		1
GCF_039718975.1	ASM3971897v1	Enterobacter chuandaensis		E20191216					GCF_039718975.1-RS_2024_05_21	Complete Genome	2024-05-23		2
GCF_021276285.1	ASM2127628v1	Rahnella victoriana		JZ-GX1					GCF_021276285.1-RS_2024_12_13	Complete Genome	2021-12-23		3
GCF_030053895.1	ASM3005389v1	Trabulsiella odontotermitis		TBY01					GCF_030053895.1-RS_2024_05_21	Complete Genome	2023-05-21		2
GCF_002116735.1	ASM211673v1	Marinobacter salarius		SMR5					GCF_002116735.1-RS_2024_11_26	Complete Genome	2017-05-01		2
GCF_017743015.1	ASM1774301v1	Xenorhabdus budapestensis		C-7-2					GCF_017743015.1-RS_2024_04_27	Complete Genome	2021-04-04		1
GCF_002215585.1	ASM221558v1	Shewanella marisflavi		EP1					GCF_002215585.1-RS_2024_12_13	Complete Genome	2017-07-06		1
GCF_002407485.1	ASM240748v1	Zobellella denitrificans		F13-1					GCF_002407485.1-RS_2024_12_13	Complete Genome	2017-10-02		1
GCF_009884975.1	ASM988497v1	Acinetobacter dispersus		NCCP 16014					GCF_009884975.1-RS_2024_03_28	Complete Genome	2020-01-15		1
GCF_030505695.1	ASM3050569v1	Halomonas alkalicola		M2					GCF_030505695.1-RS_2024_07_18	Complete Genome	2023-07-19		1
GCF_001617625.1	ASM161762v1	Microbulbifer thermotolerans		DAU221					GCF_001617625.1-RS_2024_12_11	Complete Genome	2016-04-08		1
GCF_015999465.1	ASM1599946v1	Lonsdalea populi		N-5-1					GCF_015999465.1-RS_2024_12_11	Complete Genome	2020-12-13		1
GCF_022371215.1	ASM2237121v1	Vibrio gigantis		ACE001					GCF_022371215.1-RS_2024_03_28	Complete Genome	2022-02-23		3
GCF_001705075.2	ASM170507v2	Acidiferrobacter thiooxydans		ZJ					GCF_001705075.2-RS_2024_04_01	Complete Genome	2021-11-10		1
GCF_019670485.1	ASM1967048v1	Vibrio alfacsensis		04Ya108					GCF_019670485.1-RS_2024_03_28	Complete Genome	2021-05-18		4
GCF_027286345.1	ASM2728634v1	Salinivibrio kushneri		TGB19					GCF_027286345.1-RS_2024_12_13	Complete Genome	2022-12-26		2
GCF_016747875.1	ASM1674787v1	Succinivibrio dextrinosolvens		ASCUSBF53					GCF_016747875.1-RS_2024_03_15	Complete Genome	2021-01-25		2
GCF_018972105.1	ASM1897210v1	Francisella salimarina		CHUGA-F75					GCF_018972105.1-RS_2024_05_06	Complete Genome	2021-06-21		1
GCF_000971765.1	ASM97176v1	Candidatus Pantoea carbekii		US					GCF_000971765.1-RS_2024_12_09	Complete Genome	2015-04-13		5
GCF_003025345.2	ASM302534v2	Pseudomonas paraeruginosa		Cr1					GCF_003025345.2-RS_2024_12_09	Complete Genome	2018-05-11		2
GCF_009911755.1	ASM991175v1	Pseudomonas knackmussii		N1-2					GCF_009911755.1-RS_2024_12_11	Complete Genome	2020-01-22		1
GCF_021365465.1	ASM2136546v1	Erwinia tracheiphila		BHKY					GCF_021365465.1-RS_2024_12_09	Complete Genome	2022-01-05		2
GCF_020783375.1	ASM2078337v1	Stutzerimonas chloritidismutans		6L11					GCF_020783375.1-RS_2024_03_13	Complete Genome	2021-11-07		1
GCF_017310015.1	ASM1731001v1	Marinobacterium iners		IC961					GCF_017310015.1-RS_2024_04_22	Complete Genome	2021-03-09		1
GCF_024347115.1	ASM2434711v1	Vibrio ruber		LMG 23124					GCF_024347115.1-RS_2024_08_04	Complete Genome	2022-07-13		2
GCF_004786015.1	ASM478601v1	Hydrogenovibrio crunogenus		SP-41					GCF_004786015.1-RS_2024_11_06	Complete Genome	2019-04-12		1
GCF_000988745.2	ASM98874v3	Moraxella bovoculi		58086					GCF_000988745.2-RS_2024_03_28	Complete Genome	2018-08-29		2
GCF_039789245.1	ASM3978924v1	Leminorella grimontii		LG-KP-E1-2-T0					GCF_039789245.1-RS_2024_05_25	Complete Genome	2024-05-25		1
GCF_027924785.1	ASM2792478v1	Vibrio nigripulchritudo		TUMSAT-V.nig2					GCF_027924785.1-RS_2024_12_22	Complete Genome	2022-12-21		3
GCF_023733635.1	ASM2373363v1	Candidatus Endoriftia persephone					Tica-EPR-9o50.N		GCF_023733635.1-RS_2024_03_31	Complete Genome	2022-06-15		1
GCF_000014705.1	ASM1470v1	Shewanella frigidimarina NCIMB 400		NCIMB 400					GCF_000014705.1-RS_2024_04_22	Complete Genome	2006-09-14		1
GCF_000023545.1	ASM2354v1	Musicola paradisiaca Ech703		Ech703					GCF_000023545.1-RS_2024_11_18	Complete Genome	2009-06-26		1
GCF_000010085.1	ASM1008v1	Sodalis glossinidius str. 'morsitans'		morsitans					GCF_000010085.1-RS_2024_04_16	Complete Genome	2006-01-10		4
GCF_000233915.3	ASM23391v4	Pseudoxanthomonas spadix BD-a59		BD-a59					GCF_000233915.3-RS_2024_05_05	Complete Genome	2011-11-17		1
GCF_000015345.1	ASM1534v1	Dichelobacter nodosus VCS1703A		VCS1703A					GCF_000015345.1-RS_2024_12_09	Complete Genome	2007-05-04		1
GCF_000247565.1	ASM24756v1	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)					WGM		GCF_000247565.1-RS_2024_12_11	Complete Genome	2012-02-10		1
GCF_036585405.1	Koz11	Pseudomonas batumici		Koz11					GCF_036585405.1-RS_2024_04_05	Complete Genome	2024-04-05		1
GCF_030291635.1	ASM3029163v1	Pseudomonas kurunegalensis		ANKC.G2					GCF_030291635.1-RS_2024_06_20	Complete Genome	2023-06-20		1
GCF_001442805.1	ASM144280v1	Lysobacter gummosus		3.2.11					GCF_001442805.1-RS_2024_05_05	Complete Genome	2015-11-12		1
GCF_009755645.1	ASM975564v1	Pseudomonas alkylphenolica		Neo					GCF_009755645.1-RS_2024_12_13	Complete Genome	2019-12-16		1
GCF_025266575.1	ASM2526657v1	Xanthomonas prunicola		CIX249					GCF_025266575.1-RS_2024_05_06	Complete Genome	2022-09-19		1
GCF_963678005.1	piPlaSpea1.Pseudomonas_laurentiana_1.1	Pseudomonas laurentiana					a2b1eb27-3f7a-4377-910e-1eaf3a1a8d52		GCF_963678005.1-RS_2024_12_09	Complete Genome	2023-11-18		1
GCF_026967515.2	ASM2696751v2	Rouxiella badensis		DAR84756					GCF_026967515.2-RS_2024_03_18	Complete Genome	2023-02-07		2
GCF_023699965.1	ASM2369996v1	Luteibacter anthropi		SM7.4					GCF_023699965.1-RS_2024_05_12	Complete Genome	2022-06-09		1
GCF_015167415.1	ASM1516741v1	Kosakonia pseudosacchari		BDA62-3					GCF_015167415.1-RS_2024_12_09	Complete Genome	2020-11-02		2
GCF_900682675.2	P_marincola_YSy11_v2	Pseudomonas marincola		YSy11					GCF_900682675.2-RS_2024_03_28	Complete Genome	2021-02-13		1
GCF_022637475.1	ASM2263747v1	Rahnella aceris		S2-A69					GCF_022637475.1-RS_2024_03_28	Complete Genome	2022-03-21		3
GCF_043972695.1	ASM4397269v1	Enterobacter quasiroggenkampii		ECC-072					GCF_043972695.1-RS_2024_12_22	Complete Genome	2024-10-29		1
GCF_009883735.1	ASM988373v1	Xanthomonas cucurbitae		ATCC 23378					GCF_009883735.1-RS_2024_05_06	Complete Genome	2020-01-15		2
GCF_037811135.1	ASM3781113v1	Aeromonas rivipollensis		BE1					GCF_037811135.1-RS_2024_04_05	Complete Genome	2024-04-05		1
GCF_014623465.1	ASM1462346v1	Marinomonas arctica		BSI20414					GCF_014623465.1-RS_2024_11_06	Complete Genome	2020-09-16		1
GCF_001721185.1	ASM172118v1	Xenorhabdus hominickii		ANU1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-07		1
GCF_000517405.1	ASM51740v1	Candidatus Sodalis pierantonius str. SOPE		SOPE					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-01-10		1
GCF_033547155.1	ASM3354715v1	Pseudomonas benzenivorans		HNIBRBA3361					GCF_033547155.1-RS_2024_11_18	Complete Genome	2023-11-12		1
GCF_030322905.1	ASM3032290v1	Pseudoxanthomonas winnipegensis		ZSY-33					GCF_030322905.1-RS_2024_05_12	Complete Genome	2023-06-22		1
GCF_020149575.1	ASM2014957v1	Aeromonas rivuli		20-VB00005					GCF_020149575.1-RS_2024_11_06	Complete Genome	2021-09-27		1
GCF_030297115.1	ASM3029711v1	Marinobacter shengliensis		D49					GCF_030297115.1-RS_2024_11_06	Complete Genome	2023-05-11		3
GCF_029854215.1	ASM2985421v1	Halomonas alkaliantarctica		MSP3					GCF_029854215.1-RS_2024_04_22	Complete Genome	2023-04-23		1
GCF_007289895.1	ASM728989v1	Catenovulum sediminis		WS1-A					GCF_007289895.1-RS_2024_05_04	Complete Genome	2019-07-23		2
GCF_963677335.1	piTriSpeb1.Halopseudomonas_oceani_1.1	Halopseudomonas oceani					ab883223-6a80-4053-bf73-fb395571e785		GCF_963677335.1-RS_2024_12_09	Complete Genome	2023-11-18		1
GCF_025914095.1	ASM2591409v1	Siccibacter colletis		YSD YN2					GCF_025914095.1-RS_2024_11_26	Complete Genome	2022-10-31		2
GCF_003233695.1	ASM323369v1	Marilutibacter maris		HZ9B					GCF_003233695.1-RS_2024_12_01	Complete Genome	2018-06-16		1
GCF_016906065.1	ASM1690606v1	Marinomonas foliarum		JZW					GCF_016906065.1-RS_2024_03_28	Complete Genome	2021-02-18		1
GCF_014892695.1	ASM1489269v1	Aeromonas simiae		A6					GCF_014892695.1-RS_2024_11_18	Complete Genome	2019-10-09		1
GCF_017329545.1	ASM1732954v1	Photobacterium ganghwense		C2.2					GCF_017329545.1-RS_2024_04_08	Complete Genome	2021-03-11		3
GCF_001606025.1	ASM160602v1	Psychrobacter alimentarius		PAMC 27889					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-04-04		2
GCF_010587385.1	ASM1058738v1	Vibrio astriarenae		HN897					GCF_010587385.1-RS_2024_03_28	Complete Genome	2020-02-14		2
GCF_027286365.1	ASM2728636v1	Salinivibrio proteolyticus		TGB10					GCF_027286365.1-RS_2024_12_13	Complete Genome	2022-12-26		2
GCF_030580635.1	ASM3058063v1	Vibrio metoecus		ZF102					GCF_030580635.1-RS_2024_08_09	Complete Genome	2023-08-01		4
GCF_003711265.1	ASM371126v1	Bathymodiolus thermophilus thioautotrophic gill symbiont		EPR9N					GCF_003711265.1-RS_2024_03_31	Complete Genome	2018-11-05		1
GCF_004028275.1	ASM402827v1	Hydrogenovibrio thermophilus		JR-2					GCF_004028275.1-RS_2024_11_18	Complete Genome	2019-01-17		1
GCF_020810675.1	ASM2081067v1	Pasteurella canis		HL_NV12211					GCF_020810675.1-RS_2024_09_12	Complete Genome	2021-11-09		2
GCF_002356115.1	ASM235611v1	Candidatus Nitrosoglobus terrae		TAO100					GCF_002356115.1-RS_2024_12_13	Complete Genome	2017-01-19		2
GCF_003265225.1	ASM326522v1	Mergibacter septicus		27517-4-I1					GCF_003265225.1-RS_2024_12_09	Complete Genome	2018-06-26		1
GCF_013458815.1	ASM1345881v1	Wolbachia endosymbiont of Diaphorina citri					dawsonii		GCF_013458815.1-RS_2025_01_08	Complete Genome	2020-07-22		1
GCF_029856955.1	ASM2985695v1	Wolbachia endosymbiont of Frankliniella intonsa					JH2022		GCF_029856955.1-RS_2025_01_08	Complete Genome	2023-04-24		1
GCF_008033215.1	ASM803321v1	Wolbachia endosymbiont of Drosophila ananassae		W2.1					GCF_008033215.1-RS_2025_01_08	Complete Genome	2019-08-20		1
GCF_001442745.1	ASM144274v1	Lysobacter antibioticus		76					GCF_001442745.1-RS_2024_05_05	Complete Genome	2015-11-12		1
GCF_032164335.1	ASM3216433v1	Winslowiella toletana		1.2.20					GCF_032164335.1-RS_2024_10_11	Complete Genome	2023-09-28		2
GCF_040616535.1	ASM4061653v1	Xanthomonas cannabis		DAR41331					GCF_040616535.1-RS_2024_07_11	Complete Genome	2024-07-12		1
GCF_001999225.1	ASM199922v1	Pseudoalteromonas aliena		EH1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-02-14		1
GCF_000834455.1	ASM83445v1	Yersinia rohdei		YRA					GCF_000834455.1-RS_2024_12_09	Complete Genome	2015-02-09		1
GCF_002848365.2	ASM284836v2	Legionella sainthelensi		LA01-117					GCF_002848365.2-RS_2024_03_28	Complete Genome	2018-10-16		3
GCF_001999945.1	ASM199994v1	Microbulbifer agarilyticus		GP101					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-02-15		1
GCF_900637755.1	52579_F01	Providencia rustigianii		NCTC8113					GCF_900637755.1-RS_2024_03_11	Complete Genome	2018-12-20		1
GCF_014395425.1	ASM1439542v1	Thermomonas brevis		KACC 16975					GCF_014395425.1-RS_2024_05_05	Complete Genome	2020-09-02		1
GCF_001558255.2	ASM155825v2	Grimontia hollisae		FDAARGOS_111					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-31		2
GCF_010587025.1	ASM1058702v1	Rodentibacter caecimuris		G1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-02-14		1
GCF_000754265.1	ASM75426v1	Candidatus Palibaumannia cicadellinicola		BGSS					GCF_000754265.1-RS_2024_03_17	Complete Genome	2014-09-12		1
GCF_016599635.1	ASM1659963v1	Pseudomonas cannabina pv. alisalensis		MAFF 301419					GCF_016599635.1-RS_2024_12_09	Complete Genome	2021-01-11		2
GCF_000012325.1	ASM1232v1	Colwellia psychrerythraea 34H		34H; BAA-681					GCF_000012325.1-RS_2024_03_27	Complete Genome	2005-07-26		1
GCF_000834395.1	ASM83439v1	Yersinia aldovae 670-83		670-83					GCF_000834395.1-RS_2024_12_09	Complete Genome	2015-02-09		1
GCF_001886435.1	ASM188643v1	Alteromonas mediterranea		RG65					GCF_001886435.1-RS_2024_12_13	Complete Genome	2016-11-28		2
GCF_000026085.1	ASM2608v1	Pseudoalteromonas translucida		TAC125					GCF_000026085.1-RS_2024_12_13	Complete Genome	2005-10-03		2
GCF_001547755.1	ASM154775v1	endosymbiont of Bathymodiolus septemdierum str. Myojin knoll		Myojin knoll			A1		GCF_001547755.1-RS_2024_12_11	Complete Genome	2015-10-06		1
GCF_000376605.1	ASM37660v1	Wolbachia endosymbiont of Drosophila simulans wHa		wHa					GCF_000376605.1-RS_2025_01_08	Complete Genome	2013-04-22		1
GCF_000015105.1	ASM1510v1	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)		Cm					GCF_000015105.1-RS_2024_04_08	Complete Genome	2006-12-01		1
GCF_000011745.1	ASM1174v1	Candidatus Blochmanniella pennsylvanica str. BPEN		BPEN					GCF_000011745.1-RS_2024_03_17	Complete Genome	2005-08-04		1
GCF_000364725.1	ASM36472v1	Candidatus Moranella endobia PCVAL		PCVAL					GCF_000364725.1-RS_2024_03_31	Complete Genome	2013-04-15		1
GCF_004296495.1	ASM429649v1	endosymbiont of Rhynchophorus ferrugineus					NARRFE1		GCF_004296495.1-RS_2024_03_31	Complete Genome	2017-10-21		1
GCF_002356535.2	ASM235653v2	Pseudomonas izuensis		LAB-08					GCF_002356535.2-RS_2024_07_18	Complete Genome	2021-06-07		1
GCF_021283545.2	ASM2128354v2	Pseudomonas alloputida		NMI24_14					GCF_021283545.2-RS_2024_06_30	Complete Genome	2023-06-30		1
GCF_040438935.1	ASM4043893v1	Pseudomonas vranovensis		MYb188					GCF_040438935.1-RS_2024_07_01	Complete Genome	2024-07-02		1
GCF_040429585.1	MPH_ASIOC01	Mangrovibacter phragmitis		ASIOC01					GCF_040429585.1-RS_2024_11_20	Complete Genome	2024-07-01		1
GCF_019090985.1	ASM1909098v1	Photorhabdus akhurstii		0813-124 phase II					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-07-01		1
GCF_023278125.1	ASM2327812v1	Pseudomonas tremae		PA-1-10F					GCF_023278125.1-RS_2024_05_18	Complete Genome	2022-05-09		3
GCF_028885455.1	ASM2888545v1	Pseudoalteromonas rhizosphaerae		hCg-42					GCF_028885455.1-RS_2024_05_12	Complete Genome	2023-02-28		3
GCF_041320245.1	ASM4132024v1	Citrobacter meridianamericanus		OT146					GCF_041320245.1-RS_2024_09_01	Complete Genome	2024-08-18		4
GCF_040930405.1	ASM4093040v1	Kluyvera sichuanensis		lhn-g4					GCF_040930405.1-RS_2024_07_28	Complete Genome	2024-07-29		2
GCF_035749905.1	ASM3574990v1	Serratia sarumanii		K-M0228					GCF_035749905.1-RS_2024_07_14	Complete Genome	2024-01-17		3
GCF_009363155.1	ASM936315v1	Azotobacter salinestris		KACC 13899					GCF_009363155.1-RS_2024_04_23	Complete Genome	2019-10-27		3
GCF_903989455.1	ASM90398945v1	Xanthomonas euroxanthea					1		GCF_903989455.1-RS_2024_05_06	Complete Genome	2020-07-28		2
GCF_023337365.3	ASM2333736v3	Xanthomonas nasturtii		10053					GCF_023337365.3-RS_2024_12_22	Complete Genome	2024-08-27		1
GCF_009036245.1	ASM903624v1	Enterobacter sichuanensis		SGAir0282					GCF_009036245.1-RS_2024_03_28	Complete Genome	2019-10-16		1
GCF_009498235.1	ASM949823v1	Candidatus Methylospira mobilis		Shm1					GCF_009498235.1-RS_2024_12_02	Complete Genome	2019-11-04		1
GCF_045057155.1	ASM4505715v1	Marinobacter flavimaris		ZYH30					GCF_045057155.1-RS_2024_12_11	Complete Genome	2024-11-25		1
GCF_036898185.1	ASM3689818v1	Providencia huaxiensis		Z29CR2279					GCF_036898185.1-RS_2024_04_05	Complete Genome	2024-04-05		3
GCF_038784545.1	ASM3878454v1	Marinobacter alkaliphilus		SBY-1					GCF_038784545.1-RS_2024_11_18	Complete Genome	2024-05-01		3
GCF_029023665.1	ASM2902366v1	Pseudoalteromonas ostreae		hOe-124					GCF_029023665.1-RS_2024_05_12	Complete Genome	2023-03-08		2
GCF_009665415.1	ASM966541v1	Vibrio cidicii		2423-01					GCF_009665415.1-RS_2024_08_09	Complete Genome	2019-11-18		4
GCF_003101015.1	ASM310101v1	Actinobacillus porcitonsillarum		9953L55					GCF_003101015.1-RS_2024_03_28	Complete Genome	2018-05-09		1
GCF_004519515.1	ASM451951v1	Actinobacillus indolicus		AIFJ1607					GCF_004519515.1-RS_2024_04_22	Complete Genome	2019-03-28		1
GCF_963693435.1	Pasteurella_atlantica_F6K1	Pasteurella atlantica					PAF6K1		GCF_963693435.1-RS_2024_12_16	Complete Genome	2023-12-18		1
GCF_947251775.1	ilEpaGrot1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Epagoge grotiana					26617		GCF_947251775.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_947251935.1	ilCalPalu1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Calamotropha paludella					26597		GCF_947251935.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_000287335.1	ASM28733v1	secondary endosymbiont of Ctenarytaina eucalypti					Ceuc_S		GCF_000287335.1-RS_2024_12_09	Complete Genome	2012-08-13		1
GCF_020541225.1	ASM2054122v1	Candidatus Steffania adelgidicola					Ad18-003		GCF_020541225.1-RS_2024_03_31	Complete Genome	2021-10-21		1
GCF_947250625.1	idCheSoro1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Cheilosia soror					26604		GCF_947250625.1-RS_2025_01_08	Complete Genome	2022-11-02		1
